VIN (1-10),City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Electric Utility,Longitude,Latitude
5YJ3E1EA9J,Edmonds,WA,98020.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,88782.5,PUGET SOUND ENERGY INC,-122.37507,47.80807
1G1RD6S54H,Port Angeles,WA,98362.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83167.5,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,-123.425565,48.109795
1G1RA6S53H,Woodinville,WA,98072.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83108.1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.151665,47.75855
7SAYGDEF5P,Seattle,WA,98119.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,125.0,37904.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.363815,47.63046
5YJ3E1EBXK,Bellevue,WA,98005.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,98950.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.16085,47.624515
7SAYGDEF0P,Kent,WA,98042.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,125.0,37904.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.111625,47.36078
5YJ3E1EB4J,Redmond,WA,98053.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,88782.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.0222799,47.6958998
5YJXCBE28H,Bellevue,WA,98004.0,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200.0,65945.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.201905,47.61385
WMWXP3C01M,Bellevue,WA,98004.0,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110.0,33883.15,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.201905,47.61385
5YJSA1E29H,Arlington,WA,98223.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,74838.5,PUGET SOUND ENERGY INC,-122.12324,48.19485
7SAYGDEEXP,Port Orchard,WA,98366.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,106.88,33596.65,PUGET SOUND ENERGY INC,-122.639265,47.5373
5YJSA1S20F,Shoreline,WA,98155.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.3175,47.7578146
1G1FZ6S05M,Seattle,WA,98108.0,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,125.0,37904.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.3268963,47.5499519
1G1RB6S56J,Renton,WA,98057.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83113.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.21024,47.4797047
1G1FX6S06H,Mount Vernon,WA,98273.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,106520.5,PUGET SOUND ENERGY INC,-122.338975,48.41333
5YJYGDEF5L,Tacoma,WA,98422.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,59900.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.38578,47.28971
1G1RB6S55H,Port Orchard,WA,98367.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83086.5,PUGET SOUND ENERGY INC,-122.6847073,47.50524
